Activo;Banderin Alcista;Canales;MACD;Fibbonacci;Volumen;Roi;Rubro;Activos;Pasivos;Pasivo/Activo;Conservador/Moderado/Agrecivo;Repercucion;ICC
3;-1;-1;1;-1;3100000000;125;1;0;0;1;0;1;0
3;1;2;1;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;0;1;0
3;0;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;0;1;0;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;0;1;3100000000;115;1;0;0;0;-1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;-1;1;0;3100000000;115;1;0;0;0;0;1;0
3;1;1;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;0;1;0
3;1;0;0;1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;0;1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;0;3100000000;115;1;0;0;0;1;1;0
3;1;-1;1;0;3100000000;115;1;0;0;1;1;1;0
3;-1;1;-1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;0;1;1;-1;3100000000;115;1;0;0;0;-1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;-1;-1;-1;0;3100000000;115;1;0;0;0;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;0;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;-1;1;0
3;1;0;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;-1;1;3100000000;115;1;0;0;1;0;1;0
3;-1;1;1;0;3100000000;115;1;0;0;0;1;1;0
3;1;-1;1;0;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;0;1;3100000000;115;1;0;0;1;0;1;0
3;0;1;1;-1;3100000000;115;1;0;0;0;-1;1;0
3;1;2;1;0;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;-1;0;-1;0;3100000000;115;1;0;0;1;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;-1;-1;0;-1;3100000000;115;1;0;0;0;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;-1;1;0
3;0;2;1;0;3100000000;115;1;0;0;1;1;1;0
3;0;0;1;0;3100000000;115;1;0;0;1;0;1;0
3;-1;2;1;-1;3100000000;115;1;0;0;0;1;1;0
3;1;1;0;1;3100000000;115;1;0;0;1;0;1;0
3;-1;-1;0;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;0;3100000000;115;1;0;0;1;1;1;0
3;1;1;-1;1;3100000000;115;1;0;0;1;0;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;-1;1;-1;3100000000;115;1;0;0;0;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;0;2;1;0;3100000000;115;1;0;0;1;0;1;0
3;-1;0;0;0;3100000000;115;1;0;0;1;1;1;0
3;-1;2;1;-1;3100000000;115;1;0;0;1;1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;0;-1;-1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;2;1;-1;3100000000;115;1;0;0;1;0;1;0
3;-1;0;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;1;1;3100000000;115;1;0;0;0;-1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;-1;0;0;3100000000;115;1;0;0;0;0;1;0
3;-1;1;1;0;3100000000;115;1;0;0;1;-1;1;0
3;1;1;1;-1;3100000000;115;1;0;0;1;-1;1;0
3;-1;1;-1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;2;1;-1;3100000000;115;1;0;0;0;0;1;0
3;0;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;1;1;1;1;3100000000;115;1;0;0;0;-1;1;0
3;-1;0;0;-1;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;0;1;0
3;1;-1;1;1;3100000000;115;1;0;0;0;1;1;0
3;-1;1;1;0;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;-1;0;3100000000;115;1;0;0;0;1;1;0
3;1;1;1;-1;3100000000;115;1;0;0;0;0;1;0
3;-1;2;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;0;0;-1;3100000000;115;1;0;0;1;0;1;0
3;0;2;1;0;3100000000;115;1;0;0;0;1;1;0
3;-1;1;1;0;3100000000;115;1;0;0;1;1;1;0
3;-1;-1;-1;-1;3100000000;115;1;0;0;1;-1;1;0
3;0;1;1;1;3100000000;115;1;0;0;0;1;1;0
3;0;1;1;-1;3100000000;115;1;0;0;0;-1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;0;0;1;0
3;1;1;0;1;3100000000;115;1;0;0;0;1;1;0
3;-1;-1;0;-1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;1;1;0
3;-1;1;1;1;3100000000;115;1;0;0;1;-1;1;0
3;1;1;-1;1;3100000000;115;1;0;0;1;-1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;2;1;1;30750000000;100;1;0;0;1;0;1;0
1;-1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;0;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;0;1;0;30750000000;100;1;0;0;0;-1;1;0
1;-1;1;0;1;30750000000;100;1;0;0;1;1;1;0
1;0;1;1;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;-1;1;0;30750000000;100;1;0;0;0;0;1;0
1;1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;-1;30750000000;100;1;0;0;0;1;1;0
1;-1;2;1;1;30750000000;100;1;0;0;0;-1;1;0
1;1;0;0;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;2;0;1;30750000000;100;1;0;0;0;1;1;0
1;-1;1;1;0;30750000000;100;1;0;0;1;0;1;0
1;1;-1;1;0;30750000000;100;1;0;0;1;1;1;0
1;-1;1;-1;-1;30750000000;100;1;0;0;1;-1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;0;1;1;-1;30750000000;100;1;0;0;1;0;1;0
1;0;1;1;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;-1;-1;0;30750000000;100;1;0;0;0;-1;1;0
1;1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;0;1;0
1;-1;1;0;-1;30750000000;100;1;0;0;0;1;1;0
1;-1;2;1;1;30750000000;100;1;0;0;0;-1;1;0
1;1;0;1;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;2;-1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;1;1;0;30750000000;100;1;0;0;1;0;1;0
1;1;-1;1;0;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;-1;30750000000;100;1;0;0;1;-1;1;0
1;-1;1;0;1;30750000000;100;1;0;0;0;1;1;0
1;0;1;1;-1;30750000000;100;1;0;0;1;0;1;0
1;1;2;1;0;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;0;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;0;-1;0;30750000000;100;1;0;0;1;1;1;0
1;1;1;1;1;30750000000;100;1;0;0;1;-1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;-1;0;-1;30750000000;100;1;0;0;1;-1;1;0
1;1;1;1;1;30750000000;100;1;0;0;0;0;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;0;2;1;0;30750000000;100;1;0;0;1;1;1;0
1;0;0;1;0;30750000000;100;1;0;0;0;-1;1;0
1;-1;2;1;-1;30750000000;100;1;0;0;0;-1;1;0
1;1;1;0;1;30750000000;100;1;0;0;0;1;1;0
1;-1;-1;0;-1;30750000000;100;1;0;0;0;0;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;0;30750000000;100;1;0;0;1;-1;1;0
1;1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;0;1;0
1;-1;-1;1;-1;30750000000;100;1;0;0;1;-1;1;0
1;1;1;1;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;1;-1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;0;1;0
1;0;2;1;0;30750000000;100;1;0;0;1;1;1;0
1;-1;0;0;0;30750000000;100;1;0;0;0;-1;1;0
1;-1;2;1;-1;30750000000;100;1;0;0;0;-1;1;0
1;0;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;0;-1;-1;-1;30750000000;100;1;0;0;0;0;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;1;1;1;1;30750000000;100;1;0;0;1;-1;1;0
1;-1;2;1;-1;30750000000;100;1;0;0;1;1;1;0
1;-1;0;-1;1;30750000000;100;1;0;0;1;0;1;0
1;-1;2;1;1;30750000000;100;1;0;0;0;1;1;0
1;1;1;1;1;30750000000;100;1;0;0;1;0;1;0
1;-1;-1;0;0;30750000000;100;1;0;0;0;1;1;0
1;-1;1;1;0;30750000000;100;1;0;0;0;1;1;0
1;1;1;1;-1;30750000000;100;1;0;0;1;-1;1;0
1;-1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;2;1;-1;30750000000;100;1;0;0;0;-1;1;0
1;0;1;1;1;30750000000;100;1;0;0;0;0;1;0
1;1;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;0;0;-1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;-1;1;0
1;1;-1;1;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;1;1;0;30750000000;100;1;0;0;1;1;1;0
1;-1;1;-1;0;30750000000;100;1;0;0;0;0;1;0
1;1;1;1;-1;30750000000;100;1;0;0;0;1;1;0
1;-1;2;1;1;30750000000;100;1;0;0;1;-1;1;0
1;-1;0;0;-1;30750000000;100;1;0;0;1;1;1;0
1;0;2;1;0;30750000000;100;1;0;0;0;0;1;0
1;-1;1;1;0;30750000000;100;1;0;0;0;-1;1;0
1;-1;-1;-1;-1;30750000000;100;1;0;0;0;-1;1;0
1;0;1;1;1;30750000000;100;1;0;0;0;1;1;0
1;0;1;1;-1;30750000000;100;1;0;0;1;0;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;1;1;0;1;30750000000;100;1;0;0;0;-1;1;0
1;-1;-1;0;-1;30750000000;100;1;0;0;1;-1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;1;1;1;30750000000;100;1;0;0;0;0;1;0
1;1;1;-1;1;30750000000;100;1;0;0;0;1;1;0
1;-1;2;1;0;30750000000;100;1;0;0;0;-1;1;0
1;-1;0;1;0;30750000000;100;1;0;0;0;1;1;0
1;1;2;1;-1;30750000000;100;1;0;0;1;0;1;0
1;-1;1;-1;1;30750000000;100;1;0;0;1;1;1;0
1;-1;-1;1;-1;30750000000;100;1;0;0;1;0;1;0
1;-1;-1;1;-1;30750000000;100;1;0;0;1;0;1;0
0;-1;-1;1;-1;1650000000;125;1;0;0;1;0;1;0
0;-1;1;1;1;1650000000;125;1;0;0;1;1;1;0
0;1;1;1;1;1650000000;125;1;0;0;0;0;1;0
0;-1;2;1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;-1;1;1650000000;125;1;0;0;1;1;1;0
0;0;1;1;1;1650000000;125;1;0;0;1;-1;1;0
0;-1;0;1;0;1650000000;125;1;0;0;0;1;1;0
0;-1;1;0;1;1650000000;125;1;0;0;1;-1;1;0
0;0;1;1;1;1650000000;125;1;0;0;0;0;1;0
0;-1;-1;1;0;1650000000;125;1;0;0;0;1;1;0
0;1;1;-1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;1;-1;1650000000;125;1;0;0;0;-1;1;0
0;-1;2;1;1;1650000000;125;1;0;0;0;-1;1;0
0;1;0;0;1;1650000000;125;1;0;0;0;1;1;0
0;-1;2;0;1;1650000000;125;1;0;0;0;0;1;0
0;-1;1;1;0;1650000000;125;1;0;0;1;1;1;0
0;1;-1;1;0;1650000000;125;1;0;0;1;-1;1;0
0;-1;1;-1;-1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;1;1;1650000000;125;1;0;0;0;0;1;0
0;0;1;1;-1;1650000000;125;1;0;0;1;-1;1;0
0;0;1;1;1;1650000000;125;1;0;0;0;-1;1;0
0;-1;-1;-1;0;1650000000;125;1;0;0;0;1;1;0
0;1;1;1;1;1650000000;125;1;0;0;1;0;1;0
0;-1;1;1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;0;-1;1650000000;125;1;0;0;0;-1;1;0
0;-1;2;1;1;1650000000;125;1;0;0;0;-1;1;0
0;1;0;1;1;1650000000;125;1;0;0;0;1;1;0
0;-1;2;-1;1;1650000000;125;1;0;0;0;0;1;0
0;-1;1;1;0;1650000000;125;1;0;0;1;1;1;0
0;1;-1;1;0;1650000000;125;1;0;0;1;-1;1;0
0;-1;1;1;-1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;0;1;1650000000;125;1;0;0;0;0;1;0
0;0;1;1;-1;1650000000;125;1;0;0;1;1;1;0
0;1;2;1;0;1650000000;125;1;0;0;1;0;1;0
0;-1;1;1;1;1650000000;125;1;0;0;0;1;1;0
0;-1;1;1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;0;-1;0;1650000000;125;1;0;0;1;-1;1;0
0;1;1;1;1;1650000000;125;1;0;0;1;1;1;0
0;-1;1;1;1;1650000000;125;1;0;0;0;-1;1;0
0;-1;-1;0;-1;1650000000;125;1;0;0;1;0;1;0
0;1;1;1;1;1650000000;125;1;0;0;0;1;1;0
0;-1;1;1;1;1650000000;125;1;0;0;0;1;1;0
0;-1;1;-1;1;1650000000;125;1;0;0;1;1;1;0
0;0;2;1;0;1650000000;125;1;0;0;1;-1;1;0
0;0;0;1;0;1650000000;125;1;0;0;0;-1;1;0
0;-1;2;1;-1;1650000000;125;1;0;0;0;1;1;0
0;1;1;0;1;1650000000;125;1;0;0;0;0;1;0
